*  EC          G       LABEL                   ION
    1458.6373  2.8568E-20
    1441.6765  7.9436E-21
    1425.1054  3.5891E-20
    1408.9110  3.5476E-20
    1393.0806  1.6039E-20
    1377.6019  2.3032E-21
    1362.4635  1.4959E-22
  1981   196   4.8480E-24   58     -1.0   
    4592.0061  4.8480E-24
    4428.0061  1.2800E-21
    4275.3163  2.3981E-18
    4132.8056  3.1693E-19
    3999.4894  4.4645E-19
    3874.5055  5.6608E-19
    3757.0960  3.5821E-19
    3646.5933  2.5290E-19
    3542.4048  1.1948E-19
    3444.0047  4.7861E-20
    3350.9236  2.3118E-20
    3262.7413  9.1390E-21
    3179.0813  3.3037E-21
    3099.6042  1.1823E-21
    3024.0042  4.0209E-22
    2952.0041  1.2811E-22
    2883.3529  3.0862E-23
    2431.0621  8.7359E-22
    2384.3110  1.1705E-20
    2339.3240  3.2203E-20
    2296.0031  9.0597E-20
    2254.2576  2.2882E-19
    2214.0030  4.8029E-19
    2175.1609  9.4384E-19
    2137.6582  1.7398E-18
    2101.4265  2.9086E-18
    2066.4028  4.3527E-18
    2032.5274  5.5454E-18
    1999.7447  5.4462E-18
    1968.0027  4.5987E-18
    1937.2527  3.3882E-18
    1907.4487  2.0974E-18
    1878.5480  1.1324E-18
    1850.5100  5.7581E-19
    1823.2967  2.8652E-19
    1796.8721  1.7502E-19
    1771.2024  1.8221E-19
    1746.2559  2.8294E-19
    1722.0024  4.9810E-19
    1698.4133  9.0585E-19
    1675.4618  1.6937E-18
    1653.1222  3.2927E-18
    1631.3706  6.7083E-18
    1610.1840  1.3894E-17
    1589.5407  2.5127E-17
    1569.4199  2.5163E-17
    1549.8021  1.6341E-17
    1530.6688  9.5767E-18
    1512.0021  4.7624E-18
    1493.7851  1.7057E-18
    1476.0021  3.7649E-19
    1458.6373  2.8568E-20
    1441.6765  7.9436E-21
    1425.1054  3.5891E-20
    1408.9110  3.5476E-20
    1393.0806  1.6039E-20
    1377.6019  2.3032E-21
    1362.4635  1.4959E-22
  1981   195   5.9253E-24   58     -1.0   
    4592.0061  5.9253E-24
    4428.0061  1.5644E-21
    4275.3163  2.9310E-18
    4132.8056  3.8735E-19
    3999.4894  5.4555E-19
    3874.5055  5.4210E-19
    3757.0960  3.4236E-19
    3646.5933  2.3314E-19
    3542.4048  1.0866E-19
    3444.0047  4.4194E-20
    3350.9236  2.1101E-20
    3262.7413  8.2718E-21
    3179.0813  2.9690E-21
    3099.6042  1.0493E-21
    3024.0042  3.5096E-22
    2952.0041  1.0944E-22
    2883.3529  2.1899E-23
    2431.0621  1.0677E-21
    2384.3110  1.4306E-20
    2339.3240  3.9359E-20
    2296.0031  1.1073E-19
    2254.2576  2.7967E-19
    2214.0030  5.7763E-19
    2175.1609  1.0860E-18
    2137.6582  1.9209E-18
    2101.4265  3.0900E-18
    2066.4028  4.4080E-18
    2032.5274  5.3592E-18
    1999.7447  5.1529E-18
    1968.0027  4.3135E-18
    1937.2527  3.1539E-18
    1907.4487  1.9455E-18
    1878.5480  1.0556E-18
    1850.5100  5.4103E-19
    1823.2967  2.7669E-19
    1796.8721  1.8274E-19
    1771.2024  2.0583E-19
    1746.2559  3.2728E-19
    1722.0024  5.7484E-19
    1698.4133  1.0366E-18
    1675.4618  1.9186E-18
    1653.1222  3.6830E-18
    1631.3706  7.3631E-18
    1610.1840  1.4697E-17
    1589.5407  2.4870E-17
    1569.4199  2.4159E-17
    1549.8021  1.5818E-17
    1530.6688  9.2894E-18
    1512.0021  4.6084E-18
    1493.7851  1.6481E-18
    1476.0021  3.5987E-19
    1458.6373  2.5192E-20
    1441.6765  9.2911E-21
    1425.1054  3.8421E-20
    1408.9110  3.7822E-20
    1393.0806  1.7379E-20
    1377.6019  2.6029E-21
    1362.4635  1.8283E-22
  1981   194   5.9253E-24   58     -1.0  
    4592.0061  5.9253E-24
    4428.0061  1.5644E-21
    4275.3163  2.9310E-18
    4132.8056  3.8735E-19
    3999.4894  5.4555E-19
    3874.5055  5.4210E-19
    3757.0960  3.4236E-19
    3646.5933  2.3314E-19
    3542.4048  1.0866E-19
    3444.0047  4.4194E-20
    3350.9236  2.1101E-20
    3262.7413  8.2718E-21
    3179.0813  2.9690E-21
    3099.6042  1.0493E-21
    3024.0042  3.5096E-22
    2952.0041  1.0944E-22
    2883.3529  2.1899E-23
    2431.0621  1.0677E-21
    2384.3110  1.4306E-20
    2339.3240  3.9359E-20
    2296.0031  1.1073E-19
    2254.2576  2.7967E-19
    2214.0030  5.7763E-19
    2175.1609  1.0860E-18
    2137.6582  1.9209E-18
    2101.4265  3.0900E-18
    2066.4028  4.4080E-18
    2032.5274  5.3592E-18
    1999.7447  5.1529E-18
    1968.0027  4.3135E-18
    1937.2527  3.1539E-18
    1907.4487  1.9455E-18
    1878.5480  1.0556E-18
    1850.5100  5.4103E-19
    1823.2967  2.7669E-19
    1796.8721  1.8274E-19
    1771.2024  2.0583E-19
    1746.2559  3.2728E-19
    1722.0024  5.7484E-19
    1698.4133  1.0366E-18
    1675.4618  1.9186E-18
    1653.1222  3.6830E-18
    1631.3706  7.3631E-18
    1610.1840  1.4697E-17
    1589.5407  2.4870E-17
    1569.4199  2.4159E-17
    1549.8021  1.5818E-17
    1530.6688  9.2894E-18
    1512.0021  4.6084E-18
    1493.7851  1.6481E-18
    1476.0021  3.5987E-19
    1458.6373  2.5192E-20
    1441.6765  9.2911E-21
    1425.1054  3.8421E-20
    1408.9110  3.7822E-20
    1393.0806  1.7379E-20
    1377.6019  2.6029E-21
    1362.4635  1.8283E-22
  1981   209   5.9253E-24   58     -1.0  
    4592.0061  5.9253E-24
    4428.0061  1.5644E-21
    4275.3163  2.9310E-18
    4132.8056  3.8735E-19
    3999.4894  5.4555E-19
    3874.5055  5.4210E-19
    3757.0960  3.4236E-19
    3646.5933  2.3314E-19
    3542.4048  1.0866E-19
    3444.0047  4.4194E-20
    3350.9236  2.1101E-20
    3262.7413  8.2718E-21
    3179.0813  2.9690E-21
    3099.6042  1.0493E-21
    3024.0042  3.5096E-22
    2952.0041  1.0944E-22
    2883.3529  2.1899E-23
    2431.0621  1.0677E-21
    2384.3110  1.4306E-20
    2339.3240  3.9359E-20
    2296.0031  1.1073E-19
    2254.2576  2.7967E-19
    2214.0030  5.7763E-19
    2175.1609  1.0860E-18
    2137.6582  1.9209E-18
    2101.4265  3.0900E-18
    2066.4028  4.4080E-18
    2032.5274  5.3592E-18
    1999.7447  5.1529E-18
    1968.0027  4.3135E-18
    1937.2527  3.1539E-18
    1907.4487  1.9455E-18
    1878.5480  1.0556E-18
    1850.5100  5.4103E-19
    1823.2967  2.7669E-19
    1796.8721  1.8274E-19
    1771.2024  2.0583E-19
    1746.2559  3.2728E-19
    1722.0024  5.7484E-19
    1698.4133  1.0366E-18
    1675.4618  1.9186E-18
    1653.1222  3.6830E-18
    1631.3706  7.3631E-18
    1610.1840  1.4697E-17
    1589.5407  2.4870E-17
    1569.4199  2.4159E-17
    1549.8021  1.5818E-17
    1530.6688  9.2894E-18
    1512.0021  4.6084E-18
    1493.7851  1.6481E-18
    1476.0021  3.5987E-19
    1458.6373  2.5192E-20
    1441.6765  9.2911E-21
    1425.1054  3.8421E-20
    1408.9110  3.7822E-20
    1393.0806  1.7379E-20
    1377.6019  2.6029E-21
    1362.4635  1.8283E-22
  1981   212   5.9253E-24   58     -1.0  
    4592.0061  5.9253E-24
    4428.0061  1.5644E-21
    4275.3163  2.9310E-18
    4132.8056  3.8735E-19
    3999.4894  5.4555E-19
    3874.5055  5.4210E-19
    3757.0960  3.4236E-19
    3646.5933  2.3314E-19
    3542.4048  1.0866E-19
    3444.0047  4.4194E-20
    3350.9236  2.1101E-20
    3262.7413  8.2718E-21
    3179.0813  2.9690E-21
    3099.6042  1.0493E-21
    3024.0042  3.5096E-22
    2952.0041  1.0944E-22
    2883.3529  2.1899E-23
    2431.0621  1.0677E-21
    2384.3110  1.4306E-20
    2339.3240  3.9359E-20
    2296.0031  1.1073E-19
    2254.2576  2.7967E-19
    2214.0030  5.7763E-19
    2175.1609  1.0860E-18
    2137.6582  1.9209E-18
    2101.4265  3.0900E-18
    2066.4028  4.4080E-18
    2032.5274  5.3592E-18
    1999.7447  5.1529E-18
    1968.0027  4.3135E-18
    1937.2527  3.1539E-18
    1907.4487  1.9455E-18
    1878.5480  1.0556E-18
    1850.5100  5.4103E-19
    1823.2967  2.7669E-19
    1796.8721  1.8274E-19
    1771.2024  2.0583E-19
    1746.2559  3.2728E-19
    1722.0024  5.7484E-19
    1698.4133  1.0366E-18
    1675.4618  1.9186E-18
    1653.1222  3.6830E-18
    1631.3706  7.3631E-18
    1610.1840  1.4697E-17
    1589.5407  2.4870E-17
    1569.4199  2.4159E-17
    1549.8021  1.5818E-17
    1530.6688  9.2894E-18
    1512.0021  4.6084E-18
    1493.7851  1.6481E-18
    1476.0021  3.5987E-19
    1458.6373  2.5192E-20
    1441.6765  9.2911E-21
    1425.1054  3.8421E-20
    1408.9110  3.7822E-20
    1393.0806  1.7379E-20
    1377.6019  2.6029E-21
    1362.4635  1.8283E-22
  1981   211   7.0796E-24   58     -1.0  
    4592.0061  7.0796E-24
    4428.0061  1.8692E-21
    4275.3163  3.5020E-18
    4132.8056  4.6281E-19
    3999.4894  6.5174E-19
    3874.5055  5.1349E-19
    3757.0960  3.2352E-19
    3646.5933  2.1051E-19
    3542.4048  9.7615E-20
    3444.0047  4.0777E-20
    3350.9236  1.9095E-20
    3262.7413  7.4407E-21
    3179.0813  2.6561E-21
    3099.6042  9.2548E-22
    3024.0042  3.0446E-22
    2952.0041  9.3013E-23
    2883.3529  1.3768E-23
    2431.0621  1.2757E-21
    2384.3110  1.7093E-20
    2339.3240  4.7026E-20
    2296.0031  1.3230E-19
    2254.2576  3.3415E-19
    2214.0030  6.8173E-19
    2175.1609  1.2369E-18
    2137.6582  2.1109E-18
    2101.4265  3.2752E-18
    2066.4028  4.4559E-18
    2032.5274  5.1491E-18
    1999.7447  4.8427E-18
    1968.0027  4.0187E-18
    1937.2527  2.9141E-18
    1907.4487  1.7921E-18
    1878.5480  9.7955E-19
    1850.5100  5.0707E-19
    1823.2967  2.6789E-19
    1796.8721  1.9185E-19
    1771.2024  2.3140E-19
    1746.2559  3.7469E-19
    1722.0024  6.5660E-19
    1698.4133  1.1757E-18
    1675.4618  2.1573E-18
    1653.1222  4.0963E-18
    1631.3706  8.0532E-18
    1610.1840  1.5529E-17
    1589.5407  2.4547E-17
    1569.4199  2.3127E-17
    1549.8021  1.5276E-17
    1530.6688  8.9879E-18
    1512.0021  4.4481E-18
    1493.7851  1.5887E-18
    1476.0021  3.4272E-19
    1458.6373  2.1719E-20
    1441.6765  1.0727E-20
    1425.1054  4.1025E-20
    1408.9110  4.0229E-20
    1393.0806  1.8772E-20
    1377.6019  2.9200E-21
    1362.4635  2.1845E-22
  1981   210   7.0796E-24   58     -1.0   
    4592.0061  7.0796E-24
    4428.0061  1.8692E-21
    4275.3163  3.5020E-18
    4132.8056  4.6281E-19
    3999.4894  6.5174E-19
    3874.5055  5.1349E-19
    3757.0960  3.2352E-19
    3646.5933  2.1051E-19
    3542.4048  9.7615E-20
    3444.0047  4.0777E-20
    3350.9236  1.9095E-20
    3262.7413  7.4407E-21
    3179.0813  2.6561E-21
    3099.6042  9.2548E-22
    3024.0042  3.0446E-22
    2952.0041  9.3013E-23
    2883.3529  1.3768E-23
    2431.0621  1.2757E-21
    2384.3110  1.7093E-20
    2339.3240  4.7026E-20
    2296.0031  1.3230E-19
    2254.2576  3.3415E-19
    2214.0030  6.8173E-19
    2175.1609  1.2369E-18
    2137.6582  2.1109E-18
    2101.4265  3.2752E-18
    2066.4028  4.4559E-18
    2032.5274  5.1491E-18
    1999.7447  4.8427E-18
    1968.0027  4.0187E-18
    1937.2527  2.9141E-18
    1907.4487  1.7921E-18
    1878.5480  9.7955E-19
    1850.5100  5.0707E-19
    1823.2967  2.6789E-19
    1796.8721  1.9185E-19
    1771.2024  2.3140E-19
    1746.2559  3.7469E-19
    1722.0024  6.5660E-19
    1698.4133  1.1757E-18
    1675.4618  2.1573E-18
    1653.1222  4.0963E-18
    1631.3706  8.0532E-18
    1610.1840  1.5529E-17
    1589.5407  2.4547E-17
    1569.4199  2.3127E-17
    1549.8021  1.5276E-17
    1530.6688  8.9879E-18
    1512.0021  4.4481E-18
    1493.7851  1.5887E-18
    1476.0021  3.4272E-19
    1458.6373  2.1719E-20
    1441.6765  1.0727E-20
    1425.1054  4.1025E-20
    1408.9110  4.0229E-20
    1393.0806  1.8772E-20
    1377.6019  2.9200E-21
    1362.4635  2.1845E-22
  1981   233   7.0796E-24   58     -1.0   
    4592.0061  7.0796E-24
    4428.0061  1.8692E-21
    4275.3163  3.5020E-18
    4132.8056  4.6281E-19
    3999.4894  6.5174E-19
    3874.5055  5.1349E-19
    3757.0960  3.2352E-19
    3646.5933  2.1051E-19
    3542.4048  9.7615E-20
    3444.0047  4.0777E-20
    3350.9236  1.9095E-20
    3262.7413  7.4407E-21
    3179.0813  2.6561E-21
    3099.6042  9.2548E-22
    3024.0042  3.0446E-22
    2952.0041  9.3013E-23
    2883.3529  1.3768E-23
    2431.0621  1.2757E-21
    2384.3110  1.7093E-20
    2339.3240  4.7026E-20
    2296.0031  1.3230E-19
    2254.2576  3.3415E-19
    2214.0030  6.8173E-19
    2175.1609  1.2369E-18
    2137.6582  2.1109E-18
    2101.4265  3.2752E-18
    2066.4028  4.4559E-18
    2032.5274  5.1491E-18
    1999.7447  4.8427E-18
    1968.0027  4.0187E-18
    1937.2527  2.9141E-18
    1907.4487  1.7921E-18
    1878.5480  9.7955E-19
    1850.5100  5.0707E-19
    1823.2967  2.6789E-19
    1796.8721  1.9185E-19
    1771.2024  2.3140E-19
    1746.2559  3.7469E-19
    1722.0024  6.5660E-19
    1698.4133  1.1757E-18
    1675.4618  2.1573E-18
    1653.1222  4.0963E-18
    1631.3706  8.0532E-18
    1610.1840  1.5529E-17
    1589.5407  2.4547E-17
    1569.4199  2.3127E-17
    1549.8021  1.5276E-17
    1530.6688  8.9879E-18
    1512.0021  4.4481E-18
    1493.7851  1.5887E-18
    1476.0021  3.4272E-19
    1458.6373  2.1719E-20
    1441.6765  1.0727E-20
    1425.1054  4.1025E-20
    1408.9110  4.0229E-20
    1393.0806  1.8772E-20
    1377.6019  2.9200E-21
    1362.4635  2.1845E-22
  1981   236   7.0796E-24   58     -1.0   
    4592.0061  7.0796E-24
    4428.0061  1.8692E-21
    4275.3163  3.5020E-18
    4132.8056  4.6281E-19
    3999.4894  6.5174E-19
    3874.5055  5.1349E-19
    3757.0960  3.2352E-19
    3646.5933  2.1051E-19
    3542.4048  9.7615E-20
    3444.0047  4.0777E-20
    3350.9236  1.9095E-20
    3262.7413  7.4407E-21
    3179.0813  2.6561E-21
    3099.6042  9.2548E-22
    3024.0042  3.0446E-22
    2952.0041  9.3013E-23
    2883.3529  1.3768E-23
    2431.0621  1.2757E-21
    2384.3110  1.7093E-20
    2339.3240  4.7026E-20
    2296.0031  1.3230E-19
    2254.2576  3.3415E-19
    2214.0030  6.8173E-19
    2175.1609  1.2369E-18
    2137.6582  2.1109E-18
    2101.4265  3.2752E-18
    2066.4028  4.4559E-18
    2032.5274  5.1491E-18
    1999.7447  4.8427E-18
    1968.0027  4.0187E-18
    1937.2527  2.9141E-18
    1907.4487  1.7921E-18
    1878.5480  9.7955E-19
    1850.5100  5.0707E-19
    1823.2967  2.6789E-19
    1796.8721  1.9185E-19
    1771.2024  2.3140E-19
    1746.2559  3.7469E-19
    1722.0024  6.5660E-19
    1698.4133  1.1757E-18
    1675.4618  2.1573E-18
    1653.1222  4.0963E-18
    1631.3706  8.0532E-18
    1610.1840  1.5529E-17
    1589.5407  2.4547E-17
    1569.4199  2.3127E-17
    1549.8021  1.5276E-17
    1530.6688  8.9879E-18
    1512.0021  4.4481E-18
    1493.7851  1.5887E-18
    1476.0021  3.4272E-19
    1458.6373  2.1719E-20
    1441.6765  1.0727E-20
    1425.1054  4.1025E-20
    1408.9110  4.0229E-20
    1393.0806  1.8772E-20
    1377.6019  2.9200E-21
    1362.4635  2.1845E-22
  1981   235   8.3108E-24   58     -1.0  
    4592.0061  8.3108E-24
    4428.0061  2.1942E-21
    4275.3163  4.1110E-18
    4132.8056  5.4330E-19
    3999.4894  7.6500E-19
    3874.5055  4.8026E-19
    3757.0960  3.0168E-19
    3646.5933  1.8500E-19
    3542.4048  8.6336E-20
    3444.0047  3.7611E-20
    3350.9236  1.7101E-20
    3262.7413  6.6456E-21
    3179.0813  2.3651E-21
    3099.6042  8.1097E-22
    3024.0042  2.6259E-22
    2952.0041  7.8840E-23
    2883.3529  6.4681E-24
    2431.0621  1.4976E-21
    2384.3110  2.0065E-20
    2339.3240  5.5205E-20
    2296.0031  1.5531E-19
    2254.2576  3.9226E-19
    2214.0030  7.9261E-19
    2175.1609  1.3967E-18
    2137.6582  2.3099E-18
    2101.4265  3.4643E-18
    2066.4028  4.4965E-18
    2032.5274  4.9150E-18
    1999.7447  4.5154E-18
    1968.0027  3.7144E-18
    1937.2527  2.6688E-18
    1907.4487  1.6374E-18
    1878.5480  9.0416E-19
    1850.5100  4.7392E-19
    1823.2967  2.6014E-19
    1796.8721  2.0235E-19
    1771.2024  2.5893E-19
    1746.2559  4.2517E-19
    1722.0024  7.4338E-19
    1698.4133  1.3230E-18
    1675.4618  2.4098E-18
    1653.1222  4.5326E-18
    1631.3706  8.7786E-18
    1610.1840  1.6389E-17
    1589.5407  2.4156E-17
    1569.4199  2.2067E-17
    1549.8021  1.4715E-17
    1530.6688  8.6720E-18
    1512.0021  4.2815E-18
    1493.7851  1.5274E-18
    1476.0021  3.2506E-19
    1458.6373  1.8149E-20
    1441.6765  1.2251E-20
    1425.1054  4.3704E-20
    1408.9110  4.2695E-20
    1393.0806  2.0217E-20
    1377.6019  3.2543E-21
    1362.4635  2.5644E-22
  1981   234   8.3108E-24   58     -1.0  
    4592.0061  8.3108E-24
    4428.0061  2.1942E-21
    4275.3163  4.1110E-18
    4132.8056  5.4330E-19
    3999.4894  7.6500E-19
    3874.5055  4.8026E-19
    3757.0960  3.0168E-19
    3646.5933  1.8500E-19
    3542.4048  8.6336E-20
    3444.0047  3.7611E-20
    3350.9236  1.7101E-20
    3262.7413  6.6456E-21
    3179.0813  2.3651E-21
    3099.6042  8.1097E-22
    3024.0042  2.6259E-22
    2952.0041  7.8840E-23
    2883.3529  6.4681E-24
    2431.0621  1.4976E-21
    2384.3110  2.0065E-20
    2339.3240  5.5205E-20
    2296.0031  1.5531E-19
    2254.2576  3.9226E-19
    2214.0030  7.9261E-19
    2175.1609  1.3967E-18
    2137.6582  2.3099E-18
    2101.4265  3.4643E-18
    2066.4028  4.4965E-18
    2032.5274  4.9150E-18
    1999.7447  4.5154E-18
    1968.0027  3.7144E-18
    1937.2527  2.6688E-18
    1907.4487  1.6374E-18
    1878.5480  9.0416E-19
    1850.5100  4.7392E-19
    1823.2967  2.6014E-19
    1796.8721  2.0235E-19
    1771.2024  2.5893E-19
    1746.2559  4.2517E-19
    1722.0024  7.4338E-19
    1698.4133  1.3230E-18
    1675.4618  2.4098E-18
    1653.1222  4.5326E-18
    1631.3706  8.7786E-18
    1610.1840  1.6389E-17
    1589.5407  2.4156E-17
    1569.4199  2.2067E-17
    1549.8021  1.4715E-17
    1530.6688  8.6720E-18
    1512.0021  4.2815E-18
    1493.7851  1.5274E-18
    1476.0021  3.2506E-19
    1458.6373  1.8149E-20
    1441.6765  1.2251E-20
    1425.1054  4.3704E-20
    1408.9110  4.2695E-20
    1393.0806  2.0217E-20
    1377.6019  3.2543E-21
    1362.4635  2.5644E-22
   1981   265  8.3108E-24   58     -1.0  
    4592.0061  8.3108E-24
    4428.0061  2.1942E-21
    4275.3163  4.1110E-18
    4132.8056  5.4330E-19
    3999.4894  7.6500E-19
    3874.5055  4.8026E-19
    3757.0960  3.0168E-19
    3646.5933  1.8500E-19
    3542.4048  8.6336E-20
    3444.0047  3.7611E-20
    3350.9236  1.7101E-20
    3262.7413  6.6456E-21
    3179.0813  2.3651E-21
    3099.6042  8.1097E-22
    3024.0042  2.6259E-22
    2952.0041  7.8840E-23
    2883.3529  6.4681E-24
    2431.0621  1.4976E-21
    2384.3110  2.0065E-20
    2339.3240  5.5205E-20
    2296.0031  1.5531E-19
    2254.2576  3.9226E-19
    2214.0030  7.9261E-19
    2175.1609  1.3967E-18
    2137.6582  2.3099E-18
    2101.4265  3.4643E-18
    2066.4028  4.4965E-18
    2032.5274  4.9150E-18
    1999.7447  4.5154E-18
    1968.0027  3.7144E-18
    1937.2527  2.6688E-18
    1907.4487  1.6374E-18
    1878.5480  9.0416E-19
    1850.5100  4.7392E-19
    1823.2967  2.6014E-19
    1796.8721  2.0235E-19
    1771.2024  2.5893E-19
    1746.2559  4.2517E-19
    1722.0024  7.4338E-19
    1698.4133  1.3230E-18
    1675.4618  2.4098E-18
    1653.1222  4.5326E-18
    1631.3706  8.7786E-18
    1610.1840  1.6389E-17
    1589.5407  2.4156E-17
    1569.4199  2.2067E-17
    1549.8021  1.4715E-17
    1530.6688  8.6720E-18
    1512.0021  4.2815E-18
    1493.7851  1.5274E-18
    1476.0021  3.2506E-19
    1458.6373  1.8149E-20
    1441.6765  1.2251E-20
    1425.1054  4.3704E-20
    1408.9110  4.2695E-20
    1393.0806  2.0217E-20
    1377.6019  3.2543E-21
    1362.4635  2.5644E-22
   1981   268  8.3108E-24   58     -1.0    
    4592.0061  8.3108E-24
    4428.0061  2.1942E-21
    4275.3163  4.1110E-18
    4132.8056  5.4330E-19
    3999.4894  7.6500E-19
    3874.5055  4.8026E-19
    3757.0960  3.0168E-19
    3646.5933  1.8500E-19
    3542.4048  8.6336E-20
    3444.0047  3.7611E-20
    3350.9236  1.7101E-20
    3262.7413  6.6456E-21
    3179.0813  2.3651E-21
    3099.6042  8.1097E-22
    3024.0042  2.6259E-22
    2952.0041  7.8840E-23
    2883.3529  6.4681E-24
    2431.0621  1.4976E-21
    2384.3110  2.0065E-20
    2339.3240  5.5205E-20
    2296.0031  1.5531E-19
    2254.2576  3.9226E-19
    2214.0030  7.9261E-19
    2175.1609  1.3967E-18
    2137.6582  2.3099E-18
    2101.4265  3.4643E-18
    2066.4028  4.4965E-18
    2032.5274  4.9150E-18
    1999.7447  4.5154E-18
    1968.0027  3.7144E-18
    1937.2527  2.6688E-18
    1907.4487  1.6374E-18
    1878.5480  9.0416E-19
    1850.5100  4.7392E-19
    1823.2967  2.6014E-19
    1796.8721  2.0235E-19
    1771.2024  2.5893E-19
    1746.2559  4.2517E-19
    1722.0024  7.4338E-19
    1698.4133  1.3230E-18
    1675.4618  2.4098E-18
    1653.1222  4.5326E-18
    1631.3706  8.7786E-18
    1610.1840  1.6389E-17
    1589.5407  2.4156E-17
    1569.4199  2.2067E-17
    1549.8021  1.4715E-17
    1530.6688  8.6720E-18
    1512.0021  4.2815E-18
    1493.7851  1.5274E-18
    1476.0021  3.2506E-19
    1458.6373  1.8149E-20
    1441.6765  1.2251E-20
    1425.1054  4.3704E-20
    1408.9110  4.2695E-20
    1393.0806  2.0217E-20
    1377.6019  3.2543E-21
    1362.4635  2.5644E-22
   1981   267  9.6190E-24   57     -1.0    
    4592.0061  9.6190E-24
    4428.0061  2.5396E-21
    4275.3163  4.7581E-18
    4132.8056  6.2882E-19
    3999.4894  8.8534E-19
    3874.5055  4.4239E-19
    3757.0960  2.7685E-19
    3646.5933  1.5661E-19
    3542.4048  7.4825E-20
    3444.0047  3.4696E-20
    3350.9236  1.5117E-20
    3262.7413  5.8866E-21
    3179.0813  2.0960E-21
    3099.6042  7.0572E-22
    3024.0042  2.2536E-22
    2952.0041  6.6918E-23
    2431.0621  1.7333E-21
    2384.3110  2.3224E-20
    2339.3240  6.3894E-20
    2296.0031  1.7976E-19
    2254.2576  4.5400E-19
    2214.0030  9.1025E-19
    2175.1609  1.5653E-18
    2137.6582  2.5178E-18
    2101.4265  3.6573E-18
    2066.4028  4.5296E-18
    2032.5274  4.6569E-18
    1999.7447  4.1713E-18
    1968.0027  3.4004E-18
    1937.2527  2.4180E-18
    1907.4487  1.4814E-18
    1878.5480  8.2944E-19
    1850.5100  4.4158E-19
    1823.2967  2.5342E-19
    1796.8721  2.1425E-19
    1771.2024  2.8842E-19
    1746.2559  4.7873E-19
    1722.0024  8.3518E-19
    1698.4133  1.4786E-18
    1675.4618  2.6762E-18
    1653.1222  4.9919E-18
    1631.3706  9.5394E-18
    1610.1840  1.7278E-17
    1589.5407  2.3699E-17
    1569.4199  2.0979E-17
    1549.8021  1.4135E-17
    1530.6688  8.3418E-18
    1512.0021  4.1087E-18
    1493.7851  1.4641E-18
    1476.0021  3.0687E-19
    1458.6373  1.4481E-20
    1441.6765  1.3862E-20
    1425.1054  4.6458E-20
    1408.9110  4.5221E-20
    1393.0806  2.1715E-20
    1377.6019  3.6060E-21
    1362.4635  2.9680E-22
   1981   266  9.6190E-24   57     -1.0   
    4592.0061  9.6190E-24
    4428.0061  2.5396E-21
    4275.3163  4.7581E-18
    4132.8056  6.2882E-19
    3999.4894  8.8534E-19
    3874.5055  4.4239E-19
    3757.0960  2.7685E-19
    3646.5933  1.5661E-19
    3542.4048  7.4825E-20
    3444.0047  3.4696E-20
    3350.9236  1.5117E-20
    3262.7413  5.8866E-21
    3179.0813  2.0960E-21
    3099.6042  7.0572E-22
    3024.0042  2.2536E-22
    2952.0041  6.6918E-23
    2431.0621  1.7333E-21
    2384.3110  2.3224E-20
    2339.3240  6.3894E-20
    2296.0031  1.7976E-19
    2254.2576  4.5400E-19
    2214.0030  9.1025E-19
    2175.1609  1.5653E-18
    2137.6582  2.5178E-18
    2101.4265  3.6573E-18
    2066.4028  4.5296E-18
    2032.5274  4.6569E-18
    1999.7447  4.1713E-18
    1968.0027  3.4004E-18
    1937.2527  2.4180E-18
    1907.4487  1.4814E-18
    1878.5480  8.2944E-19
    1850.5100  4.4158E-19
    1823.2967  2.5342E-19
    1796.8721  2.1425E-19
    1771.2024  2.8842E-19
    1746.2559  4.7873E-19
    1722.0024  8.3518E-19
    1698.4133  1.4786E-18
    1675.4618  2.6762E-18
    1653.1222  4.9919E-18
    1631.3706  9.5394E-18
    1610.1840  1.7278E-17
    1589.5407  2.3699E-17
    1569.4199  2.0979E-17
    1549.8021  1.4135E-17
    1530.6688  8.3418E-18
    1512.0021  4.1087E-18
    1493.7851  1.4641E-18
    1476.0021  3.0687E-19
    1458.6373  1.4481E-20
    1441.6765  1.3862E-20
    1425.1054  4.6458E-20
    1408.9110  4.5221E-20
    1393.0806  2.1715E-20
    1377.6019  3.6060E-21
    1362.4635  2.9680E-22
   1981   293  9.6190E-24   57     -1.0   
    4592.0061  9.6190E-24
    4428.0061  2.5396E-21
    4275.3163  4.7581E-18
    4132.8056  6.2882E-19
    3999.4894  8.8534E-19
    3874.5055  4.4239E-19
    3757.0960  2.7685E-19
    3646.5933  1.5661E-19
    3542.4048  7.4825E-20
    3444.0047  3.4696E-20
    3350.9236  1.5117E-20
    3262.7413  5.8866E-21
    3179.0813  2.0960E-21
    3099.6042  7.0572E-22
    3024.0042  2.2536E-22
    2952.0041  6.6918E-23
    2431.0621  1.7333E-21
    2384.3110  2.3224E-20
    2339.3240  6.3894E-20
    2296.0031  1.7976E-19
    2254.2576  4.5400E-19
    2214.0030  9.1025E-19
    2175.1609  1.5653E-18
    2137.6582  2.5178E-18
    2101.4265  3.6573E-18
    2066.4028  4.5296E-18
    2032.5274  4.6569E-18
    1999.7447  4.1713E-18
    1968.0027  3.4004E-18
    1937.2527  2.4180E-18
    1907.4487  1.4814E-18
    1878.5480  8.2944E-19
    1850.5100  4.4158E-19
