*  EC          G       LABEL                   ION
    4832.03809     24.0  'Level  119 = F2f124X '   1
    4832.62256     26.0  'Level  120 = F1e126X '   1
    5168.84326     26.0  'Level  121 = F2e126X '   1
    5169.72070     28.0  'Level  122 = F1f128X '   1
    5175.33252     26.0  'Level  123 = F2f126X '   1
    5175.79932     28.0  'Level  124 = F1e128X '   1
    5181.50732     38.0  'Level  125 = F2e038X '   1
    5182.05859     40.0  'Level  126 = F1f040X '   1
    5194.40576     40.0  'Level  127 = F1e040X '   1
    5194.44629     38.0  'Level  128 = F2f038X '   1
    5351.87354      2.0  'Level  129 = F1e22X '   1
    5351.97607      2.0  'Level  130 = F1f22X '   1
    5369.64307      4.0  'Level  131 = F1f24X '   1
    5369.65967      4.0  'Level  132 = F1e24X '   1
    5415.10156      4.0  'Level  133 = F2e24X '   1
    5415.32227      4.0  'Level  134 = F2f24X '   1
    5420.80713      6.0  'Level  135 = F1f26X '   1
    5420.95264      6.0  'Level  136 = F1e26X '   1
    5494.91748      6.0  'Level  137 = F2e26X '   1
    5495.36865      6.0  'Level  138 = F2f26X '   1
    5498.77588      8.0  'Level  139 = F1f28X '   1
    5499.12012      8.0  'Level  140 = F1e28X '   1
    5535.53271     28.0  'Level  141 = F2e128X '   1
    5536.33252     30.0  'Level  142 = F1f130X '   1
    5542.92676     28.0  'Level  143 = F2f128X '   1
    5543.28906     30.0  'Level  144 = F1e130X '   1
    5600.08691      8.0  'Level  145 = F2e28X '   1
    5600.83691      8.0  'Level  146 = F2f28X '   1
    5603.01416     10.0  'Level  147 = F1f210X '   1
    5603.62695     10.0  'Level  148 = F1e210X '   1
    5703.97607     40.0  'Level  149 = F2e040X '   1
    5704.49023     42.0  'Level  150 = F1f042X '   1
    5717.94336     42.0  'Level  151 = F1e042X '   1
    5718.04541     40.0  'Level  152 = F2f040X '   1
    5730.90674     10.0  'Level  153 = F2e210X '   1
    5732.02441     10.0  'Level  154 = F2f210X '   1
    5733.26221     12.0  'Level  155 = F1f212X '   1
